Date,Description,Category,Amount,Type
2025-12-21,Gorgeous Ceramic Bike,Transport,266.15867469298223,Expense
2025-12-23,Frozen Granite Table,Shopping,263.49815101397576,Expense
2025-12-26,Gorgeous Granite Table,Logement,423.7979145748179,Expense
2025-12-28,Frozen Silk Chair,Transport,487.2835721301153,Expense
2025-12-17,Soft Concrete Hat,Alimentation,146.83246107996402,Expense
2025-12-18,Frozen Bronze Bacon,Logement,459.4906734854097,Expense
2025-12-27,Rustic Gold Gloves,Logement,429.90594898962047,Expense
2026-01-04,Handmade Marble Car,Alimentation,88.02350494125538,Expense
2026-01-06,Electronic Cotton Tuna,Alimentation,120.01608880179124,Expense
2026-01-08,Elegant Silk Salad,Logement,476.2883607051618,Expense
2026-01-03,Gorgeous Wooden Ball,Shopping,375.50248547275277,Expense
2026-01-11,Practical Steel Gloves,Salaire,426.54533953946174,Income
2026-01-10,Small Metal Chicken,Loisirs,499.55935348871935,Expense
2025-12-31,Rustic Granite Salad,Loisirs,52.231874853293355,Expense
2026-01-03,Luxurious Aluminum Salad,Loisirs,142.94119158590055,Expense
2026-01-11,Soft Wooden Computer,Salaire,308.48225528094434,Income
2025-12-29,Incredible Plastic Chair,Loisirs,62.18948735609008,Expense
2025-12-18,Awesome Marble Salad,Santé,437.0318359217743,Expense
2025-12-29,Rustic Plastic Ball,Santé,230.3606973424605,Expense
2025-12-23,Fantastic Concrete Shoes,Loisirs,241.94426383592042,Expense
2025-12-22,Luxurious Aluminum Mouse,Logement,64.4861519289374,Expense
2025-12-27,Ergonomic Silk Towels,Salaire,414.99272662439733,Income
2026-01-09,Licensed Silk Tuna,Loisirs,123.367112210792,Expense
2025-12-18,Handcrafted Bamboo Pants,Shopping,453.84837009132747,Expense
2026-01-05,Sleek Plastic Gloves,Salaire,344.98587079826495,Income
2025-12-25,Handmade Bamboo Car,Transport,237.56595115436622,Expense
2026-01-07,Generic Steel Cheese,Santé,275.4951098053115,Expense
2025-12-23,Luxurious Rubber Keyboard,Logement,228.64992997229402,Expense
2026-01-03,Sleek Gold Soap,Loisirs,168.15887511738518,Expense
2026-01-12,Ergonomic Gold Ball,Santé,396.8488886927514,Expense
2025-12-17,Modern Rubber Salad,Santé,164.1428854798961,Expense
2026-01-11,Bespoke Granite Pizza,Transport,367.7218421393734,Expense
2026-01-02,Elegant Plastic Soap,Salaire,33.716032636644684,Income
2025-12-28,Fantastic Aluminum Mouse,Salaire,307.42101411212985,Income
2026-01-02,Unbranded Silk Hat,Shopping,36.10900982212878,Expense
2026-01-04,Small Rubber Sausages,Salaire,189.62556367965345,Income
2025-12-27,Electronic Cotton Bacon,Shopping,299.1829428256976,Expense
2025-12-31,Frozen Bamboo Hat,Alimentation,253.28652619712497,Expense
2026-01-06,Recycled Bronze Mouse,Logement,181.67851088238817,Expense
2026-01-04,Rustic Cotton Bacon,Santé,407.3664996340707,Expense
2026-01-10,Rustic Cotton Car,Logement,379.16381863583985,Expense
2026-01-12,Handcrafted Gold Gloves,Loisirs,343.3517394757387,Expense
2026-01-02,Unbranded Marble Tuna,Alimentation,472.10804707275906,Expense
2025-12-17,Licensed Plastic Car,Freelance,105.05369485502702,Income
2026-01-05,Refined Metal Pizza,Santé,63.285843014292624,Expense
2025-12-17,Recycled Marble Tuna,Santé,106.43642336901141,Expense
2025-12-25,Ergonomic Silk Chicken,Salaire,408.92880388315734,Income
2026-01-10,Incredible Rubber Cheese,Transport,139.4701756222811,Expense
2026-01-08,Licensed Aluminum Shirt,Logement,32.26231218068412,Expense
2025-12-18,Ergonomic Cotton Hat,Transport,157.98288526335136,Expense
2025-12-28,Awesome Steel Fish,Alimentation,176.72843481460956,Expense
2025-12-30,Practical Marble Chair,Alimentation,134.96578758028653,Expense
2026-01-04,Rustic Bronze Table,Transport,492.74745503953966,Expense
2026-01-01,Intelligent Granite Computer,Alimentation,114.909459383068,Expense
2026-01-04,Bespoke Gold Shirt,Logement,411.20749524239835,Expense
2025-12-17,Awesome Cotton Towels,Logement,96.89159457051403,Expense
2026-01-02,Intelligent Wooden Chair,Alimentation,371.1276894738347,Expense
2026-01-10,Practical Marble Soap,Transport,253.70147744751344,Expense
2026-01-07,Practical Steel Pants,Shopping,76.49505935950233,Expense
2026-01-07,Fresh Wooden Mouse,Loisirs,265.1417024811608,Expense
2026-01-04,Gorgeous Silk Sausages,Transport,424.85442220270505,Expense
2025-12-23,Sleek Granite Mouse,Santé,266.7157679802565,Expense
2025-12-25,Ergonomic Aluminum Shoes,Loisirs,267.7907633485364,Expense
2026-01-12,Recycled Concrete Sausages,Loisirs,360.8128383957107,Expense
2025-12-26,Small Rubber Cheese,Logement,272.60888406216395,Expense
2025-12-25,Handcrafted Metal Towels,Logement,101.57744634346403,Expense
2025-12-25,Practical Gold Shoes,Shopping,419.6111071826142,Expense
2026-01-08,Soft Wooden Chips,Shopping,334.48154142821335,Expense
2025-12-28,Small Silk Salad,Santé,223.92166602107085,Expense
2025-12-21,Recycled Metal Chicken,Alimentation,411.0880193860286,Expense
2025-12-20,Tasty Plastic Bike,Loisirs,438.70979540594476,Expense
2026-01-02,Tasty Concrete Salad,Alimentation,263.0789173753595,Expense
2026-01-02,Oriental Granite Sausages,Salaire,398.7111449068382,Income
2026-01-11,Practical Bronze Chips,Transport,152.05834237513633,Expense
2026-01-02,Refined Metal Pants,Loisirs,253.95619028702316,Expense
2025-12-29,Recycled Wooden Pants,Logement,247.39922265495633,Expense
2026-01-01,Awesome Ceramic Ball,Alimentation,159.8509317201247,Expense
2026-01-13,Luxurious Ceramic Bacon,Santé,315.8601813808358,Expense
2026-01-11,Handmade Cotton Bike,Alimentation,393.22512584675536,Expense
2026-01-04,Handmade Plastic Chips,Transport,42.80252130974466,Expense
2026-01-13,Fresh Concrete Mouse,Salaire,360.91549798970794,Income
2025-12-29,Fresh Bamboo Car,Loisirs,107.59768611507032,Expense
2025-12-26,Sleek Gold Soap,Logement,206.3990985831403,Expense
2026-01-11,Small Bamboo Shirt,Alimentation,259.6750069478667,Expense
2025-12-19,Handmade Marble Chair,Salaire,349.755249252641,Income
2026-01-11,Licensed Bamboo Towels,Freelance,495.6780099920178,Income
2025-12-18,Intelligent Cotton Table,Alimentation,67.76073980449469,Expense
2026-01-04,Incredible Concrete Hat,Transport,330.8762941883513,Expense
2026-01-01,Generic Gold Keyboard,Freelance,72.78342975094921,Income
2025-12-28,Handcrafted Rubber Chips,Transport,58.1207809337561,Expense
2025-12-24,Gorgeous Bamboo Bike,Santé,220.32697351431747,Expense
2026-01-05,Rustic Gold Chair,Freelance,481.26917851164376,Income
2026-01-11,Modern Plastic Towels,Alimentation,222.2081981460795,Expense
2026-01-02,Fresh Marble Towels,Alimentation,96.89934079024209,Expense
2025-12-22,Small Bronze Chair,Shopping,373.4750278803972,Expense
2026-01-08,Fresh Plastic Shirt,Freelance,107.33880182778803,Income
2026-01-08,Bespoke Granite Chips,Salaire,47.650790488294106,Income
2026-01-07,Fresh Marble Chair,Logement,175.00798457501543,Expense
2025-12-25,Sleek Aluminum Cheese,Loisirs,370.9666415452092,Expense
2026-01-09,Ergonomic Ceramic Chicken,Santé,430.5763317603405,Expense
2026-01-01,Luxurious Steel Hat,Salaire,188.8690005633252,Income
2025-12-16,Practical Bamboo Gloves,Transport,319.9160405340209,Expense
2026-01-08,Elegant Metal Fish,Alimentation,489.7018304356424,Expense
2026-01-09,Tasty Steel Pants,Transport,423.37037304244683,Expense
2026-01-01,Incredible Marble Chair,Salaire,482.0131309172565,Income
2026-01-12,Practical Granite Tuna,Santé,340.21799311583567,Expense
2026-01-04,Ergonomic Marble Chicken,Loisirs,48.95584094387629,Expense
2025-12-29,Soft Bamboo Shoes,Alimentation,249.50735965921635,Expense
2025-12-27,Elegant Bronze Car,Santé,292.5511646441466,Expense
2026-01-04,Bespoke Rubber Chair,Logement,255.57701550694227,Expense
2025-12-26,Modern Concrete Shirt,Shopping,369.6916957478115,Expense
2025-12-17,Handcrafted Steel Fish,Logement,290.82347793985593,Expense
2025-12-16,Sleek Marble Mouse,Loisirs,458.53496335435125,Expense
2026-01-10,Incredible Granite Hat,Logement,313.4901772454311,Expense
2025-12-27,Handmade Ceramic Ball,Santé,79.31055151645758,Expense
2026-01-10,Handcrafted Ceramic Chips,Loisirs,179.60838947900524,Expense
2025-12-24,Soft Rubber Sausages,Transport,480.90179201993453,Expense
2025-12-23,Handmade Wooden Gloves,Salaire,452.4976230194887,Income
2025-12-18,Practical Metal Car,Shopping,298.3719652779923,Expense
2025-12-28,Modern Silk Cheese,Transport,130.63200412932412,Expense
2026-01-13,Fresh Concrete Computer,Transport,317.15522826973773,Expense
2025-12-15,Modern Rubber Keyboard,Shopping,38.67318650704466,Expense
2025-12-25,Frozen Marble Car,Santé,352.3567908133341,Expense
2025-12-25,Awesome Gold Salad,Shopping,454.28303449784516,Expense
2025-12-23,Awesome Wooden Computer,Logement,389.794827862131,Expense
2025-12-28,Oriental Rubber Chair,Santé,51.911305073823904,Expense
2025-12-20,Modern Aluminum Towels,Logement,196.32579003666814,Expense
2026-01-07,Intelligent Plastic Gloves,Loisirs,485.453350469055,Expense
2025-12-18,Bespoke Steel Sausages,Transport,255.54069479939017,Expense
2026-01-04,Fresh Bamboo Chicken,Freelance,479.60848183189955,Income
2025-12-31,Elegant Concrete Computer,Santé,258.10879083511827,Expense
2026-01-05,Rustic Metal Keyboard,Logement,127.12498947902728,Expense
2026-01-05,Bespoke Wooden Keyboard,Santé,111.37091293614361,Expense
2025-12-31,Small Marble Bacon,Logement,394.01622235225943,Expense
2026-01-03,Intelligent Wooden Gloves,Transport,362.5423553278439,Expense
2026-01-10,Recycled Metal Soap,Freelance,266.8845943026418,Income
2026-01-11,Handmade Rubber Pants,Transport,375.98451488311184,Expense
2026-01-02,Sleek Cotton Gloves,Shopping,444.43031463417316,Expense
2026-01-04,Handmade Granite Tuna,Alimentation,128.52209190212997,Expense
2025-12-23,Modern Aluminum Hat,Salaire,28.897182206128956,Income
2026-01-02,Soft Aluminum Gloves,Shopping,63.59235519258642,Expense
2026-01-03,Soft Plastic Pants,Alimentation,306.6991102953759,Expense
2026-01-05,Generic Silk Sausages,Logement,329.4353052771825,Expense
2026-01-13,Modern Granite Gloves,Freelance,452.6399590693391,Income
2025-12-23,Luxurious Metal Gloves,Alimentation,135.01956298545073,Expense
2025-12-28,Modern Cotton Bacon,Logement,74.81344519461794,Expense
2025-12-15,Frozen Metal Ball,Transport,413.23816357844214,Expense
2026-01-01,Incredible Bronze Soap,Shopping,33.05478567453083,Expense
2025-12-29,Elegant Marble Bacon,Transport,332.21986032751295,Expense
2026-01-03,Awesome Wooden Pants,Loisirs,325.7265138391563,Expense
2025-12-24,Oriental Wooden Shoes,Santé,96.04050704175665,Expense
2026-01-10,Electronic Wooden Car,Salaire,84.91530602878159,Income
2026-01-12,Electronic Aluminum Car,Alimentation,97.52506019435987,Expense
2026-01-12,Handcrafted Aluminum Bacon,Transport,349.9858166136914,Expense
2025-12-21,Bespoke Gold Shoes,Transport,25.829006748247362,Expense
2025-12-18,Incredible Cotton Mouse,Loisirs,432.8503893919351,Expense
2025-12-17,Electronic Rubber Fish,Santé,434.334885487622,Expense
2026-01-05,Small Wooden Tuna,Transport,235.01429974771582,Expense
2025-12-17,Handcrafted Marble Soap,Loisirs,278.99186327991396,Expense
2025-12-25,Ergonomic Marble Mouse,Alimentation,35.594519437057585,Expense
2025-12-17,Recycled Plastic Car,Transport,195.3871625737378,Expense
2025-12-27,Fresh Bronze Ball,Salaire,89.12511085127335,Income
2026-01-09,Handcrafted Steel Ball,Salaire,283.9039816622118,Income
2026-01-08,Electronic Silk Pizza,Loisirs,425.2585376565048,Expense
2026-01-07,Sleek Gold Cheese,Loisirs,377.87456925552414,Expense
2026-01-13,Recycled Rubber Soap,Transport,117.73106857398395,Expense
2025-12-26,Generic Metal Car,Loisirs,15.807894667164142,Expense
2025-12-19,Licensed Bronze Shoes,Shopping,470.9398856182695,Expense
2026-01-11,Licensed Plastic Tuna,Shopping,50.35147998567048,Expense
2025-12-17,Soft Bamboo Chair,Alimentation,46.2652838455452,Expense
2026-01-05,Electronic Ceramic Table,Loisirs,465.0479394301783,Expense
2025-12-31,Licensed Rubber Soap,Logement,35.25075146997899,Expense
2025-12-20,Handcrafted Concrete Keyboard,Salaire,303.7181129778226,Income
2026-01-03,Gorgeous Rubber Chicken,Alimentation,492.9445162232105,Expense
2025-12-22,Handmade Aluminum Table,Salaire,45.288443721281595,Income
2026-01-12,Elegant Concrete Ball,Salaire,173.58040159783434,Income
2026-01-04,Bespoke Steel Chair,Transport,203.92901656446674,Expense
2026-01-12,Ergonomic Marble Salad,Alimentation,287.056825350923,Expense
2025-12-26,Fresh Silk Ball,Loisirs,137.5154719785154,Expense
2025-12-21,Oriental Wooden Bike,Freelance,100.97733886740295,Income
2025-12-27,Recycled Wooden Chips,Alimentation,465.7665214052819,Expense
2026-01-13,Rustic Metal Chips,Transport,422.85597758885166,Expense
2026-01-06,Modern Marble Soap,Logement,157.59961061625518,Expense
2025-12-22,Fresh Marble Car,Shopping,92.62295123969216,Expense
2026-01-13,Handcrafted Gold Hat,Transport,271.1174106658083,Expense
2025-12-28,Licensed Concrete Car,Santé,137.8675098693629,Expense
2026-01-13,Awesome Bamboo Mouse,Santé,183.23893301688994,Expense
2026-01-06,Recycled Wooden Car,Salaire,93.74440583639662,Income
2026-01-03,Handmade Rubber Sausages,Santé,412.05321019986405,Expense
2025-12-20,Sleek Wooden Table,Alimentation,99.96032312026266,Expense
2026-01-01,Sleek Gold Shirt,Freelance,468.8934384820943,Income
2026-01-13,Gorgeous Cotton Shoes,Loisirs,479.2268375868079,Expense
2025-12-31,Frozen Gold Hat,Shopping,255.27008545067886,Expense
2025-12-30,Gorgeous Plastic Towels,Transport,212.03545646016028,Expense
2025-12-22,Gorgeous Wooden Bike,Salaire,370.5295860492182,Income
2025-12-29,Modern Wooden Keyboard,Transport,146.00767779537117,Expense
2025-12-18,Refined Steel Fish,Loisirs,222.03474006814847,Expense
2026-01-07,Unbranded Cotton Sausages,Loisirs,361.41955174634086,Expense
2025-12-17,Bespoke Ceramic Computer,Shopping,462.5783238768043,Expense
2026-01-11,Recycled Steel Bacon,Salaire,242.7312999897485,Income
2025-12-19,Sleek Granite Sausages,Shopping,279.10912649078693,Expense
2025-12-28,Handmade Concrete Cheese,Transport,98.08253137179996,Expense
2026-01-07,Fantastic Bronze Keyboard,Transport,283.78003660214233,Expense
2025-12-26,Gorgeous Granite Cheese,Santé,45.624008590162816,Expense
2025-12-29,Electronic Concrete Mouse,Logement,372.9677474958425,Expense
2025-12-23,Recycled Aluminum Towels,Santé,182.1513820118257,Expense
2026-01-10,Licensed Metal Fish,Transport,490.0753804227516,Expense
2026-01-12,Ergonomic Rubber Pants,Shopping,317.70194212995324,Expense
2025-12-22,Fantastic Plastic Car,Transport,299.58426309167396,Expense
2026-01-06,Ergonomic Cotton Keyboard,Alimentation,115.9405912406318,Expense
2025-12-14,Intelligent Rubber Keyboard,Santé,41.99810486422599,Expense
2026-01-13,Gorgeous Bamboo Keyboard,Salaire,470.6821651395523,Income
2025-12-31,Gorgeous Bronze Cheese,Loisirs,157.11051577727042,Expense
2025-12-19,Handmade Wooden Chair,Shopping,441.7046582719426,Expense
2025-12-29,Intelligent Silk Bacon,Logement,415.1697479605744,Expense
2025-12-19,Tasty Wooden Bacon,Shopping,113.91410948407166,Expense
2026-01-05,Refined Marble Table,Logement,484.5363912765132,Expense
2025-12-16,Electronic Bamboo Soap,Logement,35.13771052754133,Expense
2026-01-03,Handcrafted Wooden Car,Transport,154.90303194024457,Expense
2026-01-09,Handmade Ceramic Shoes,Loisirs,133.28818617363356,Expense
2026-01-05,Awesome Rubber Table,Transport,13.823323851729246,Expense
2026-01-11,Practical Concrete Gloves,Loisirs,248.620404452426,Expense
2025-12-19,Refined Cotton Mouse,Transport,311.88349431168143,Expense
2025-12-21,Incredible Silk Soap,Salaire,112.24888155048117,Income
2026-01-12,Luxurious Aluminum Fish,Logement,355.85038291619213,Expense
2025-12-26,Small Gold Chips,Alimentation,438.9397577701056,Expense
2026-01-04,Incredible Wooden Salad,Alimentation,421.74721693409055,Expense
2025-12-16,Practical Aluminum Chips,Transport,33.59834854917994,Expense
2026-01-03,Recycled Ceramic Tuna,Shopping,174.4910939742961,Expense
2025-12-31,Rustic Bronze Bacon,Logement,305.0550018829317,Expense
2026-01-07,Practical Steel Tuna,Santé,164.58707380099278,Expense
2025-12-31,Modern Gold Bike,Shopping,66.86955609415149,Expense
2026-01-02,Unbranded Ceramic Shoes,Transport,233.45731103348356,Expense
2026-01-05,Fantastic Concrete Hat,Salaire,337.158627101661,Income
2026-01-04,Generic Rubber Salad,Salaire,54.68689681037231,Income
2025-12-27,Modern Steel Mouse,Freelance,53.989605924634205,Income
2025-12-29,Tasty Silk Gloves,Loisirs,225.70626948587568,Expense
2026-01-06,Bespoke Rubber Pants,Transport,432.9215846143463,Expense
2025-12-25,Sleek Silk Gloves,Freelance,409.9990324435423,Income
2025-12-26,Ergonomic Ceramic Pizza,Logement,224.37710312261973,Expense
2026-01-10,Awesome Concrete Keyboard,Transport,167.7529758317487,Expense
2026-01-11,Sleek Marble Ball,Logement,416.9861440287632,Expense
2025-12-17,Oriental Marble Table,Alimentation,317.5977504545034,Expense
2025-12-21,Small Aluminum Salad,Shopping,143.62024483449656,Expense
2025-12-15,Gorgeous Aluminum Chicken,Santé,460.90600216490185,Expense
2025-12-24,Modern Cotton Chair,Logement,89.07214839142695,Expense
2025-12-31,Small Bronze Keyboard,Shopping,332.34611417906456,Expense
2025-12-15,Intelligent Concrete Sausages,Salaire,84.50073132407833,Income
2026-01-12,Gorgeous Cotton Sausages,Loisirs,183.52820469028686,Expense
2026-01-04,Handmade Steel Chips,Logement,104.35048457090295,Expense
2025-12-31,Elegant Wooden Pants,Freelance,282.90455084587865,Income
2025-12-31,Unbranded Bamboo Towels,Santé,478.9695159094163,Expense
2026-01-02,Bespoke Silk Bacon,Transport,316.4682930068286,Expense
2025-12-18,Unbranded Concrete Car,Santé,136.80866854339192,Expense
2026-01-07,Handmade Bronze Mouse,Loisirs,157.48640304510195,Expense
2026-01-03,Frozen Ceramic Bacon,Alimentation,349.1609072151498,Expense
2026-01-09,Practical Metal Chicken,Logement,61.8344975591321,Expense
2026-01-09,Ergonomic Cotton Bacon,Transport,36.058253645499406,Expense
2025-12-30,Frozen Cotton Shoes,Alimentation,479.8950732387821,Expense
2025-12-30,Generic Rubber Computer,Loisirs,368.688504656337,Expense
2026-01-03,Fresh Bronze Mouse,Shopping,369.7159047301689,Expense
2026-01-12,Sleek Metal Chips,Salaire,52.85811255972619,Income
2025-12-30,Generic Cotton Salad,Alimentation,305.7816857439204,Expense
2026-01-03,Tasty Rubber Keyboard,Logement,73.9943988847638,Expense
2025-12-17,Fantastic Concrete Gloves,Shopping,137.78380303962592,Expense
2025-12-25,Fantastic Aluminum Ball,Transport,155.31745827205643,Expense
2026-01-11,Ergonomic Plastic Gloves,Loisirs,416.94903271717254,Expense
2025-12-23,Bespoke Ceramic Chicken,Shopping,151.6647782409504,Expense
2026-01-09,Gorgeous Rubber Keyboard,Shopping,293.0800604587306,Expense
2026-01-10,Licensed Bronze Salad,Shopping,127.7956471826814,Expense
2026-01-09,Gorgeous Bronze Ball,Loisirs,42.89241313291912,Expense
2025-12-25,Frozen Metal Car,Transport,238.4457474402325,Expense
2026-01-11,Handcrafted Plastic Tuna,Salaire,127.28115641421041,Income
2026-01-06,Elegant Rubber Gloves,Loisirs,182.3479260857206,Expense
2025-12-30,Handcrafted Aluminum Table,Santé,454.5067545006896,Expense
2026-01-09,Intelligent Marble Tuna,Santé,83.85875674784327,Expense
2025-12-23,Sleek Marble Cheese,Shopping,467.23128177091746,Expense
2025-12-18,Rustic Silk Towels,Logement,218.0924785695746,Expense
2026-01-08,Handcrafted Aluminum Salad,Logement,444.5903595142557,Expense
2026-01-05,Generic Metal Computer,Santé,185.4704877802293,Expense
2025-12-26,Refined Bamboo Salad,Loisirs,459.0808893793147,Expense
2026-01-03,Fresh Cotton Soap,Salaire,65.16809051856657,Income
2026-01-12,Bespoke Wooden Tuna,Santé,342.79701523331323,Expense
2026-01-10,Intelligent Silk Car,Loisirs,269.8916876937963,Expense
2026-01-04,Intelligent Gold Shoes,Santé,36.18844195724565,Expense
2025-12-20,Intelligent Concrete Shirt,Santé,255.3723858320772,Expense
2025-12-30,Elegant Aluminum Gloves,Loisirs,444.98648348413536,Expense
2025-12-20,Luxurious Metal Tuna,Santé,458.97531764134555,Expense
2025-12-26,Modern Marble Fish,Transport,122.07854440793845,Expense
2026-01-03,Refined Plastic Table,Shopping,353.658725865529,Expense
2026-01-12,Fresh Plastic Pizza,Santé,36.420470552241454,Expense
2025-12-15,Handmade Cotton Ball,Loisirs,394.4787798461354,Expense
2026-01-10,Frozen Cotton Hat,Shopping,366.0195483926546,Expense
2026-01-01,Ergonomic Rubber Towels,Transport,324.7564552636338,Expense
2026-01-11,Intelligent Aluminum Pizza,Alimentation,101.88612333401312,Expense
2026-01-06,Small Gold Ball,Loisirs,118.50416887500333,Expense
2025-12-31,Small Aluminum Towels,Freelance,106.99561479804377,Income
2026-01-04,Oriental Metal Chips,Santé,325.11762433483585,Expense
2026-01-01,Fresh Cotton Computer,Loisirs,314.1057017047771,Expense
2025-12-20,Practical Cotton Mouse,Shopping,51.78680212758632,Expense
2025-12-15,Recycled Bamboo Shoes,Shopping,246.69794058846804,Expense
